ID,T1,T2,rep,start_date,death_date,days_to_death,OC_inf,OC_spores,HT_inf,HT_spores,total_offspring
243,N,N,27,25/01/2022,02/05/2022,97,,,,,432
244,OC,HT,25,25/01/2022,25/02/2022,31,0,,0,,123
245,OC,HT,26,25/01/2022,06/05/2022,101,1,,0,,144
246,OC,HT,27,25/01/2022,02/03/2022,36,1,7,1,3000,109
247,OC,HT,28,25/01/2022,26/02/2022,32,1,247,0,,207
248,OC,HT,29,25/01/2022,26/02/2022,32,1,12,1,5000,159
249,OC,HT,30,25/01/2022,12/03/2022,46,1,1603,1,75000,170
250,HT,OC,25,25/01/2022,25/02/2022,31,0,,1,75000,178
251,HT,OC,26,25/01/2022,14/02/2022,20,0,,1,3000,90
252,HT,OC,27,25/01/2022,21/03/2022,55,1,0,0,,248
253,HT,OC,28,25/01/2022,26/02/2022,32,1,40,1,5000,196
254,HT,OC,29,25/01/2022,28/02/2022,34,1,172,1,27000,150
255,HT,OC,30,25/01/2022,13/03/2022,47,0,,1,204000,199
256,both,N,25,25/01/2022,28/02/2022,34,1,399,0,,154
257,both,N,26,25/01/2022,02/03/2022,36,1,106,1,14000,143
258,both,N,27,25/01/2022,03/03/2022,37,1,39,0,,139
259,both,N,28,25/01/2022,27/02/2022,33,0,,0,,205
260,both,N,29,25/01/2022,28/02/2022,34,0,,0,,165
261,both,N,30,25/01/2022,25/02/2022,31,0,,1,24000,187
262,N,both,25,25/01/2022,29/03/2022,63,0,,1,3080000,188
263,N,both,26,25/01/2022,18/03/2022,52,0,,1,175000,201
264,N,both,27,25/01/2022,27/02/2022,33,1,193,1,9000,214
265,N,both,28,25/01/2022,01/03/2022,35,1,31,1,6000,174
266,N,both,29,25/01/2022,12/03/2022,46,1,75,1,29000,176
267,N,both,30,25/01/2022,04/03/2022,38,1,224,1,80000,163
268,N,N,28,25/01/2022,01/03/2022,35,,,,,193
269,N,N,29,25/01/2022,23/04/2022,88,,,,,331
270,N,N,30,25/01/2022,26/02/2022,32,,,,,152
